0,11948,11999,20118,20663,23613,24461,28095,28363,28727,32396,32666,32779,36478,36711,36845,36935,44648,48763,49194,49514,49545,52561,52963,61547,64713,65595,72912,73548,73596,77296,77746
-87.0,-88.0,-88.0,-94.0,-94.0,-96.0,-96.0,-93.0,-95.0,-92.0,-94.0,-95.0,-95.0,-91.0,-90.0,-91.0,-90.0,-98.0,-90.0,-92.0,-92.0,-93.0,-92.0,-92.0,-92.0,-90.0,-90.0,-91.0,-91.0,-89.0,-91.0,-91.0
-87.0,-87.5,-88.0,-91.0,-93.979385,-95.44688,-95.97188,-93.96677,-95.0,-92.0,-93.34452,-95.0,-95.0,-92.319016,-90.0,-91.0,-90.0,-94.0,-91.42965,-92.0,-92.0,-93.0,-92.27908,-92.0,-92.0,-90.581665,-90.03234,-90.516174,-90.990074,-89.0,-90.34023,-91.0
-87.0,-87.50083,-87.668144,-89.269485,-90.234375,-91.22438,-91.93579,-92.07645,-92.42532,-92.37885,-92.542915,-92.77546,-92.97396,-92.80672,-92.57957,-92.45681,-92.27262,-92.68854,-92.49875,-92.46442,-92.43316,-92.47056,-92.440056,-92.41198,-92.38606,-92.23781,-92.10031,-92.03337,-91.97106,-91.79331,-91.746185,-91.70213
