0,16152,16218,16386,16424,16458,16569,16682,16918,19866,24222,24968,28452,28635,28981,32221,32403,32652,32704,32785,32867,32953,33053,33169,36970,37319,41353,49218,57220,57571,57753,60685,61600,65611,69103
-81.0,-83.0,-83.0,-83.0,-83.0,-82.0,-84.0,-82.0,-83.0,-82.0,-80.0,-82.0,-81.0,-81.0,-81.0,-80.0,-80.0,-80.0,-81.0,-81.0,-80.0,-80.0,-80.0,-80.0,-82.0,-83.0,-85.0,-81.0,-83.0,-83.0,-82.0,-83.0,-83.0,-84.0,-80.0
-81.0,-81.1,-83.0,-83.0,-83.0,-82.0,-84.0,-82.0,-83.0,-82.88251,-82.651924,-82.364334,-82.22828,-81.0,-81.0,-80.892876,-80.0,-80.0,-81.0,-81.0,-80.0,-80.0,-80.0,-80.0,-80.18305,-82.65364,-82.85611,-82.763306,-82.77514,-82.97151,-82.0,-82.11811,-82.43982,-82.57518,-82.31896
-81.0,-82.00166,-82.33629,-82.50414,-82.605286,-82.50135,-82.7246,-82.62883,-82.67313,-82.59958,-82.336494,-82.30465,-82.18823,-82.08756,-81.99954,-81.84415,-81.70589,-81.58201,-81.540924,-81.50369,-81.40248,-81.309944,-81.22503,-81.146866,-81.20054,-81.31235,-81.53893,-81.50615,-81.59623,-81.680214,-81.69921,-81.77601,-81.84787,-81.973595,-81.85881
